AREA NAME,FIREARM COUNT,POPULATION,Firearm Incident Rate
77TH STREET,125,175000,71.42857142857143
CENTRAL,33,40000,82.5
DEVONSHIRE,16,219136,7.301401869158878
FOOTHILL,20,182214,10.976105019372826
HARBOR,42,171000,24.56140350877193
HOLLENBECK,32,200000,16.0
HOLLYWOOD,14,300000,4.666666666666666
MISSION,32,225849,14.168758772454163
N HOLLYWOOD,6,220000,2.7272727272727275
NEWTON,61,150000,40.666666666666664
NORTHEAST,10,250000,4.0
OLYMPIC,16,200000,8.0
PACIFIC,16,200000,8.0
RAMPART,33,164961,20.00472839034681
SOUTHEAST,120,150000,80.0
SOUTHWEST,28,165000,16.96969696969697
TOPANGA,9,179263,5.020556389215845
VAN NUYS,17,325000,5.230769230769231
WEST LA,7,228000,3.0701754385964914
WEST VALLEY,21,196840,10.668563300142248
WILSHIRE,9,251000,3.585657370517928
